,URL,DataAnalyst,DataScientist
0,https://hh.ru/resume/1c76da3f00077f744f0039ed1f3767626f475a?query=%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog,0.0,0.0
1,https://hh.ru/resume/75095b330006128b760039ed1f31637177714d?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6&source=search&hhtmFrom=resumes_catalog,0.0,0.0
2,https://hh.ru/resume/8b6cbc2b0002bb10a10039ed1f7879326d4f71?query=%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog,0.0,0.0
3,https://hh.ru/resume/5cd430390004dcad4f0039ed1f555a32725647?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6&source=search&hhtmFrom=resumes_catalog,0.0,0.0
4,https://hh.ru/resume/f2e5b53e00032f40040039ed1f66525754544b?query=%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog,0.0,0.0
5,https://hh.ru/resume/33f10269000184370f0039ed1f58504d734873?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog,0.0,0.0
6,https://hh.ru/resume/e39c74fd000005069f0039ed1f736563726574?query=%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog,0.0,0.0
7,https://hh.ru/resume/7f7bf08e0003ea2e830039ed1f79427679574f?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&source=search&hhtmFrom=resumes_catalog,1.0,0.0
8,https://hh.ru/resume/47b47ed40001db534e0039ed1f375576746361?query=data+analyst&source=search&hhtmFrom=resumes_catalog,0.0,0.0
9,https://hh.ru/resume/659fe078000290a9960039ed1f34766a50444a?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6&source=search&hhtmFrom=resumes_catalog,0.0,0.0
10,https://hh.ru/resume/ac9cd18d000561ecb40039ed1f594758304856?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6&source=search&hhtmFrom=resumes_catalog,0.0,0.0
11,https://hh.ru/resume/592ea93d0001d4da320039ed1f575836676f56?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&source=search&hhtmFrom=resumes_catalog,0.0,0.0
12,https://hh.ru/resume/b40aad950008dc9fde0039ed1f714532594262?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6&source=search&hhtmFrom=resumes_catalog,0.0,0.0
13,https://hh.ru/resume/7a40dd440002d5e8820039ed1f33594e764574?query=%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%BD%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog,0.0,0.0
14,https://hh.ru/resume/9fde2e380000adef450039ed1f736563726574?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&source=search&hhtmFrom=resumes_catalog,0.0,0.0
15,https://hh.ru/resume/d0f6d5d40000143ac50039ed1f736563726574?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&source=search&hhtmFrom=resumes_catalog,0.0,0.0
16,https://hh.ru/resume/d2c7a3780001db658a0039ed1f516864776c48?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog,0.0,0.0
17,https://hh.ru/resume/5f193e5d0000a229650039ed1f736563726574?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog,1.0,1.0
18,https://hh.ru/resume/20cee95c0002bcf7ca0039ed1f6f4847556f72?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6&source=search&hhtmFrom=resumes_catalog,0.0,0.0
19,https://hh.ru/resume/0dab11cc00008452b50039ed1f736563726574?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&source=search&hhtmFrom=resumes_catalog,0.0,0.0
